epoch,train_loss,val_loss,val_mae
1,0.53379,0.45471,0.36881
2,0.43128,0.36720,0.25505
3,0.34715,0.31591,0.17365
4,0.28993,0.28903,0.12187
5,0.24833,0.27490,0.08949
6,0.22350,0.26742,0.06932
7,0.20490,0.26343,0.05871
8,0.19000,0.26059,0.05292
9,0.17976,0.25854,0.04904
10,0.16981,0.25651,0.04514
11,0.16279,0.25399,0.04761
12,0.15717,0.25289,0.04312
13,0.14999,0.25164,0.04160
14,0.14420,0.25167,0.03770
15,0.13858,0.25172,0.03530
16,0.13419,0.24862,0.02831
17,0.12928,0.25064,0.02973
18,0.12702,0.24981,0.02561
19,0.12066,0.25150,0.02519
20,0.11586,0.24970,0.02342
21,0.11231,0.25028,0.02232
22,0.10744,0.25324,0.02286
23,0.10169,0.24977,0.02028
24,0.09497,0.24921,0.02097
25,0.09093,0.24672,0.01875
26,0.08563,0.24961,0.01895
27,0.08044,0.24622,0.01777
28,0.07509,0.24705,0.01798
29,0.07290,0.24622,0.01706
30,0.06629,0.24685,0.01908
31,0.06394,0.24513,0.01637
32,0.06026,0.24096,0.01627
33,0.05613,0.24432,0.01652
34,0.05504,0.24476,0.01634
35,0.05090,0.24438,0.01656
36,0.04793,0.24271,0.01612
37,0.04539,0.24232,0.01605
38,0.04485,0.24449,0.01513
39,0.04226,0.24075,0.01526
40,0.03930,0.23722,0.01610
41,0.03658,0.24014,0.01630
42,0.03702,0.24093,0.01475
43,0.03374,0.23920,0.01505
44,0.03163,0.23747,0.01562
45,0.02983,0.23626,0.01470
46,0.02931,0.23404,0.01507
47,0.02773,0.23457,0.01524
48,0.02808,0.23293,0.01505
49,0.02623,0.23450,0.01461
50,0.02475,0.23299,0.01407
51,0.02547,0.23627,0.01467
52,0.02579,0.23967,0.01423
53,0.02322,0.23099,0.01407
54,0.02307,0.23711,0.01411
55,0.02205,0.23344,0.01419
56,0.02192,0.23861,0.01434
57,0.02150,0.23491,0.01421
58,0.02112,0.23863,0.01418
59,0.02097,0.23595,0.01402
60,0.02211,0.24346,0.01425
61,0.02200,0.23506,0.01405
62,0.02176,0.23718,0.01402
63,0.01950,0.23882,0.01392
64,0.01837,0.23451,0.01461
65,0.01886,0.23369,0.01370
66,0.01843,0.23741,0.01380
67,0.01744,0.23366,0.01459
68,0.01725,0.23163,0.01449
69,0.01755,0.23530,0.01359
70,0.01707,0.23187,0.01415
71,0.01732,0.23177,0.01400
72,0.01664,0.23399,0.01436
73,0.01729,0.23872,0.01436
74,0.01746,0.23400,0.01418
75,0.01616,0.23532,0.01437
76,0.01685,0.23328,0.01386
77,0.01592,0.23250,0.01399
78,0.01588,0.22636,0.01365
79,0.01635,0.23861,0.01425
80,0.01643,0.23731,0.01397
81,0.01524,0.23829,0.01441
82,0.01580,0.23118,0.01438
83,0.01493,0.23615,0.01464
84,0.01449,0.23729,0.01420
85,0.01468,0.23676,0.01416
86,0.01442,0.22967,0.01379
87,0.01477,0.23715,0.01415
88,0.01513,0.23923,0.01458
89,0.01400,0.23815,0.01447
90,0.01421,0.23774,0.01460
91,0.01483,0.23672,0.01402
92,0.01514,0.23321,0.01399
93,0.01470,0.23436,0.01382
94,0.01554,0.23724,0.01404
95,0.01406,0.23077,0.01423
96,0.01393,0.24418,0.01388
97,0.01400,0.23719,0.01446
98,0.01362,0.23713,0.01419
99,0.01347,0.23968,0.01381
100,0.01467,0.24002,0.01410
101,0.01604,0.23540,0.01340
102,0.01673,0.23601,0.01449
103,0.01803,0.23772,0.01431
104,0.01645,0.23160,0.01441
105,0.01673,0.24104,0.01511
106,0.01506,0.24217,0.01471
107,0.01461,0.23948,0.01505
108,0.01392,0.23490,0.01441
109,0.01447,0.24419,0.01508
110,0.01491,0.23731,0.01441
111,0.01347,0.23656,0.01450
112,0.01343,0.23913,0.01447
113,0.01265,0.23522,0.01421
114,0.01296,0.23486,0.01444
115,0.01283,0.23808,0.01437
116,0.01333,0.23703,0.01447
117,0.01335,0.24014,0.01454
118,0.01251,0.23786,0.01434
