epoch,train_loss,val_loss,val_mae
1,0.53756,0.44020,0.37093
2,0.44232,0.34167,0.26251
3,0.36479,0.27161,0.18156
4,0.31053,0.22429,0.12878
5,0.27333,0.19279,0.09498
6,0.24935,0.16959,0.07213
7,0.23067,0.15392,0.05722
8,0.21868,0.14374,0.04758
9,0.20514,0.13717,0.04015
10,0.19754,0.13296,0.03496
11,0.18788,0.13016,0.03197
12,0.18118,0.12858,0.02901
13,0.17459,0.12696,0.02604
14,0.16727,0.12492,0.02428
15,0.16240,0.12546,0.02208
16,0.15891,0.12436,0.02081
17,0.15321,0.12515,0.01984
18,0.14582,0.12392,0.01882
19,0.14312,0.12344,0.01792
20,0.14164,0.12220,0.01804
21,0.13173,0.12542,0.01683
22,0.13210,0.12627,0.01678
23,0.12130,0.12870,0.01578
24,0.11602,0.13674,0.01528
25,0.11047,0.13359,0.01554
26,0.10670,0.13418,0.01507
27,0.09638,0.12895,0.01457
28,0.09309,0.12522,0.01447
29,0.08460,0.12563,0.01464
30,0.08046,0.12390,0.01509
31,0.07628,0.12593,0.01419
32,0.07407,0.12470,0.01440
33,0.06700,0.12441,0.01460
34,0.06042,0.12298,0.01436
35,0.05797,0.12372,0.01376
36,0.05484,0.12439,0.01340
37,0.05425,0.12319,0.01383
38,0.05406,0.12188,0.01314
39,0.04842,0.12184,0.01349
40,0.04600,0.12137,0.01320
41,0.04325,0.12462,0.01334
42,0.04166,0.11942,0.01304
43,0.03823,0.12028,0.01307
44,0.04135,0.12163,0.01301
45,0.03747,0.12240,0.01335
46,0.03411,0.11980,0.01320
47,0.03323,0.12171,0.01334
48,0.02917,0.11798,0.01275
49,0.03093,0.11785,0.01300
50,0.02805,0.12183,0.01325
51,0.02661,0.11706,0.01287
52,0.02657,0.12136,0.01315
53,0.02605,0.11751,0.01286
54,0.02647,0.11911,0.01311
55,0.02401,0.12254,0.01299
56,0.02443,0.11938,0.01293
57,0.02285,0.11964,0.01281
58,0.02244,0.12197,0.01303
59,0.02166,0.12202,0.01321
60,0.02374,0.12158,0.01324
61,0.02229,0.11896,0.01289
62,0.02083,0.11826,0.01276
63,0.02240,0.11938,0.01308
