epoch,train_loss,val_loss,val_mae
1,0.53712,0.45138,0.37357
2,0.43973,0.35482,0.26273
3,0.35910,0.28865,0.18014
4,0.30194,0.24651,0.12705
5,0.26713,0.21939,0.09330
6,0.24321,0.20063,0.07139
7,0.22585,0.18729,0.05722
8,0.21417,0.17481,0.05035
9,0.20262,0.16698,0.04427
10,0.18966,0.16076,0.04041
11,0.18236,0.15569,0.03734
12,0.17813,0.15214,0.03392
13,0.17213,0.14980,0.02974
14,0.16485,0.14831,0.02660
15,0.15808,0.14677,0.02670
16,0.15567,0.14557,0.02554
17,0.15009,0.14557,0.02215
18,0.14665,0.14455,0.02133
19,0.14113,0.14317,0.02057
20,0.13999,0.14265,0.01879
21,0.13081,0.14152,0.01946
22,0.12569,0.14109,0.01774
23,0.11632,0.14125,0.01967
24,0.11116,0.14052,0.01750
25,0.10216,0.14170,0.01972
26,0.09613,0.14185,0.01524
27,0.09107,0.14378,0.01648
28,0.08545,0.14373,0.01465
29,0.07596,0.14814,0.01655
30,0.07344,0.14419,0.01352
31,0.06746,0.14371,0.01421
32,0.06202,0.14378,0.01344
33,0.05833,0.14352,0.01332
34,0.05522,0.14360,0.01202
35,0.05311,0.14486,0.01202
36,0.04895,0.14561,0.01333
37,0.04925,0.14422,0.01275
38,0.04619,0.14447,0.01234
39,0.04295,0.14270,0.01161
40,0.04044,0.14851,0.01243
41,0.03782,0.15225,0.01174
42,0.03766,0.15147,0.01164
43,0.03603,0.15347,0.01172
44,0.03598,0.15505,0.01275
45,0.03308,0.15090,0.01142
46,0.03221,0.16277,0.01247
47,0.03152,0.15820,0.01190
48,0.02895,0.15537,0.01167
49,0.02788,0.15110,0.01139
50,0.02669,0.16122,0.01165
51,0.02632,0.15775,0.01135
52,0.02466,0.15488,0.01129
53,0.02455,0.14653,0.01136
54,0.02314,0.14997,0.01100
55,0.02288,0.15439,0.01208
56,0.02433,0.15694,0.01151
57,0.02181,0.16386,0.01240
58,0.02225,0.15443,0.01177
59,0.02085,0.15530,0.01150
60,0.02049,0.15609,0.01130
61,0.02087,0.15428,0.01144
62,0.01926,0.15377,0.01158
63,0.01980,0.15059,0.01118
64,0.01986,0.15039,0.01135
