epoch,train_loss,val_loss,val_mae
1,0.53602,0.45367,0.37483
2,0.43887,0.36031,0.26714
3,0.35724,0.29602,0.18520
4,0.29847,0.25556,0.13123
5,0.25854,0.22899,0.09561
6,0.23250,0.21095,0.07228
7,0.21268,0.19943,0.05778
8,0.19812,0.18948,0.05305
9,0.18952,0.18220,0.04804
10,0.17865,0.17746,0.04502
11,0.16938,0.17438,0.03923
12,0.16389,0.17136,0.03722
13,0.15764,0.16926,0.03310
14,0.15280,0.16686,0.03033
15,0.14810,0.16510,0.02810
16,0.14785,0.16374,0.02513
17,0.14128,0.16305,0.02634
18,0.13659,0.16180,0.02168
19,0.13238,0.16190,0.02138
20,0.12690,0.16087,0.01869
21,0.12207,0.16038,0.01771
22,0.11647,0.15942,0.01729
23,0.10799,0.15808,0.01769
24,0.10406,0.15843,0.01570
25,0.09615,0.15708,0.01480
26,0.09150,0.15932,0.01491
27,0.08617,0.16000,0.01529
28,0.08095,0.16630,0.01717
29,0.07525,0.16281,0.01550
30,0.06867,0.16632,0.01588
31,0.06783,0.16074,0.01356
32,0.06310,0.16821,0.01460
33,0.06317,0.16271,0.01439
34,0.05883,0.16938,0.01704
35,0.05558,0.16703,0.01376
36,0.05209,0.16618,0.01358
37,0.05012,0.17367,0.01444
38,0.04853,0.17064,0.01470
39,0.04653,0.16550,0.01382
40,0.04337,0.17159,0.01512
41,0.04200,0.16842,0.01517
42,0.04054,0.16779,0.01461
43,0.03661,0.17284,0.01473
44,0.03629,0.16510,0.01273
45,0.03288,0.16886,0.01289
46,0.03086,0.16344,0.01265
47,0.02876,0.16371,0.01271
48,0.02813,0.16548,0.01264
49,0.02813,0.15883,0.01205
50,0.02547,0.16165,0.01266
51,0.02576,0.15730,0.01159
52,0.02474,0.16318,0.01207
53,0.02414,0.16528,0.01203
54,0.02263,0.16219,0.01176
55,0.02132,0.16800,0.01253
56,0.02069,0.16036,0.01162
57,0.02020,0.16240,0.01213
58,0.01952,0.16233,0.01192
59,0.02023,0.17228,0.01224
60,0.02144,0.16471,0.01210
61,0.02068,0.16098,0.01158
62,0.01909,0.16752,0.01211
63,0.01888,0.17022,0.01209
64,0.02008,0.16546,0.01162
65,0.01888,0.15942,0.01189
