epoch,train_loss,val_loss,val_mae
1,0.57350,0.56480,0.47780
2,0.56369,0.55519,0.46871
3,0.55631,0.54596,0.45991
4,0.54543,0.53680,0.45102
5,0.53759,0.52747,0.44177
6,0.52827,0.51777,0.43193
7,0.51702,0.50754,0.42131
8,0.50688,0.49675,0.40981
9,0.49560,0.48525,0.39728
10,0.48385,0.47301,0.38356
11,0.47070,0.46001,0.36859
12,0.45851,0.44644,0.35253
13,0.44306,0.43248,0.33551
14,0.42675,0.41828,0.31753
15,0.41008,0.40412,0.29889
16,0.39676,0.39016,0.27978
17,0.37809,0.37664,0.26045
18,0.36373,0.36364,0.24108
19,0.34666,0.35149,0.22210
20,0.32904,0.34015,0.20353
21,0.31615,0.32983,0.18571
22,0.30001,0.32043,0.16861
23,0.28744,0.31205,0.15252
24,0.27209,0.30466,0.13764
25,0.25876,0.29832,0.12403
26,0.24559,0.29275,0.11167
27,0.23506,0.28799,0.10092
28,0.22354,0.28385,0.09190
29,0.21593,0.28027,0.08597
30,0.20830,0.27728,0.08358
31,0.19896,0.27484,0.07896
32,0.18671,0.27277,0.07498
33,0.18147,0.27104,0.07111
34,0.17881,0.26949,0.06856
35,0.17214,0.26859,0.06703
36,0.16527,0.26727,0.06167
37,0.16406,0.26643,0.05917
38,0.15786,0.26517,0.05821
39,0.15544,0.26490,0.05421
40,0.14868,0.26530,0.04504
41,0.14824,0.26471,0.04422
42,0.14021,0.26477,0.04202
43,0.13088,0.26465,0.04181
44,0.12916,0.26422,0.03800
45,0.12301,0.26303,0.03427
46,0.11666,0.26254,0.03312
47,0.11049,0.26439,0.02876
48,0.10156,0.25994,0.02865
49,0.10142,0.26059,0.02748
50,0.09197,0.26009,0.02881
51,0.09020,0.25994,0.02420
52,0.08299,0.26004,0.02250
53,0.08009,0.26301,0.02141
54,0.07458,0.25928,0.02147
55,0.07481,0.25798,0.01993
56,0.06919,0.25679,0.02172
57,0.06948,0.25520,0.01978
58,0.06478,0.25458,0.01964
59,0.06041,0.25805,0.01893
60,0.05849,0.25520,0.01811
61,0.05422,0.25272,0.01803
62,0.05469,0.25281,0.01817
63,0.05067,0.25502,0.01769
64,0.04948,0.24954,0.01693
65,0.04672,0.25400,0.01736
66,0.04660,0.25174,0.01706
67,0.04342,0.24834,0.01657
68,0.04167,0.24902,0.01602
69,0.03782,0.24883,0.01659
70,0.03590,0.25042,0.01554
71,0.03454,0.25150,0.01616
72,0.03332,0.25067,0.01517
73,0.03286,0.25327,0.01580
74,0.03045,0.25351,0.01592
75,0.03040,0.25253,0.01522
76,0.02787,0.25292,0.01534
77,0.02824,0.25162,0.01505
78,0.02740,0.25402,0.01514
79,0.02489,0.25066,0.01504
80,0.02517,0.24949,0.01515
81,0.02406,0.25103,0.01501
82,0.02431,0.24853,0.01441
83,0.02569,0.25855,0.01574
84,0.02581,0.24870,0.01392
85,0.02277,0.25416,0.01456
86,0.02204,0.25124,0.01395
87,0.02133,0.24986,0.01447
88,0.01939,0.24850,0.01380
89,0.01983,0.25019,0.01412
90,0.01936,0.24830,0.01419
91,0.01963,0.24907,0.01404
92,0.01821,0.24886,0.01382
93,0.01839,0.24863,0.01407
94,0.01766,0.24956,0.01376
95,0.01743,0.24755,0.01390
96,0.01747,0.24953,0.01374
97,0.01663,0.25043,0.01332
98,0.01735,0.24769,0.01365
99,0.01716,0.24797,0.01388
100,0.01682,0.24758,0.01327
101,0.01693,0.24540,0.01356
102,0.01721,0.24600,0.01382
103,0.01610,0.24729,0.01332
104,0.01581,0.24646,0.01382
105,0.01558,0.24698,0.01353
106,0.01562,0.24879,0.01332
107,0.01524,0.24615,0.01376
108,0.01569,0.24803,0.01372
109,0.01474,0.24869,0.01355
110,0.01472,0.24943,0.01332
111,0.01505,0.24773,0.01336
112,0.01482,0.24899,0.01331
113,0.01429,0.24728,0.01340
114,0.01447,0.24910,0.01308
115,0.01391,0.24802,0.01372
116,0.01401,0.24891,0.01334
117,0.01403,0.24908,0.01319
118,0.01318,0.24840,0.01290
119,0.01376,0.25007,0.01311
120,0.01334,0.24858,0.01298
121,0.01339,0.24654,0.01328
122,0.01273,0.24968,0.01290
123,0.01308,0.24786,0.01306
124,0.01301,0.24445,0.01307
125,0.01275,0.24911,0.01294
126,0.01253,0.24773,0.01322
127,0.01216,0.24747,0.01296
128,0.01332,0.24877,0.01303
129,0.01252,0.24803,0.01323
130,0.01240,0.24987,0.01296
131,0.01229,0.24826,0.01308
132,0.01241,0.24632,0.01269
133,0.01263,0.24740,0.01289
134,0.01215,0.24850,0.01291
135,0.01179,0.24866,0.01303
136,0.01195,0.24881,0.01315
137,0.01195,0.24873,0.01286
138,0.01109,0.24745,0.01266
139,0.01161,0.24798,0.01280
140,0.01189,0.24917,0.01303
141,0.01148,0.24808,0.01305
142,0.01120,0.24927,0.01282
143,0.01190,0.24904,0.01300
144,0.01109,0.24980,0.01269
145,0.01143,0.24855,0.01262
146,0.01073,0.24890,0.01280
147,0.01196,0.24832,0.01276
148,0.01123,0.24778,0.01274
149,0.01110,0.24937,0.01272
150,0.01132,0.24778,0.01281
151,0.01132,0.24757,0.01262
152,0.01115,0.24942,0.01281
153,0.01073,0.24960,0.01277
154,0.01134,0.24818,0.01286
