epoch,train_loss,val_loss,val_mae
1,0.57007,0.55507,0.47713
2,0.56165,0.54392,0.46752
3,0.55276,0.53271,0.45755
4,0.54587,0.52176,0.44763
5,0.53553,0.51097,0.43759
6,0.52607,0.50009,0.42724
7,0.51735,0.48897,0.41632
8,0.50679,0.47733,0.40467
9,0.49638,0.46499,0.39203
10,0.48373,0.45208,0.37852
11,0.47275,0.43858,0.36408
12,0.45937,0.42458,0.34872
13,0.44697,0.41003,0.33252
14,0.43269,0.39508,0.31547
15,0.41814,0.37996,0.29779
16,0.40131,0.36470,0.27955
17,0.38937,0.34943,0.26085
18,0.37138,0.33437,0.24218
19,0.35819,0.31959,0.22380
20,0.33703,0.30537,0.20577
21,0.32399,0.29144,0.18815
22,0.31570,0.27803,0.17127
23,0.30206,0.26578,0.15552
24,0.29056,0.25407,0.14056
25,0.27771,0.24304,0.12658
26,0.27135,0.23280,0.11395
27,0.26002,0.22333,0.10242
28,0.25189,0.21443,0.09209
29,0.24422,0.20631,0.08320
30,0.23420,0.19878,0.07577
31,0.22075,0.19181,0.07019
32,0.21989,0.18522,0.06510
33,0.21309,0.17954,0.06019
34,0.20114,0.17429,0.05720
35,0.19817,0.16985,0.05428
36,0.19058,0.16651,0.05081
37,0.18564,0.16386,0.04747
38,0.17747,0.16151,0.04689
39,0.17707,0.15938,0.04204
40,0.16587,0.15738,0.03983
41,0.16704,0.15588,0.04135
42,0.16283,0.15485,0.04016
43,0.15456,0.15337,0.03495
44,0.14647,0.15131,0.03086
45,0.14591,0.15012,0.03352
46,0.13788,0.14819,0.03169
47,0.13557,0.14644,0.02838
48,0.12580,0.14480,0.02712
49,0.11970,0.14267,0.02595
50,0.11161,0.13939,0.02679
51,0.11110,0.13816,0.02425
52,0.11060,0.13587,0.02354
53,0.09423,0.13467,0.02062
54,0.08883,0.13454,0.02179
55,0.08549,0.13224,0.02186
56,0.08040,0.13278,0.02027
57,0.07537,0.13318,0.02028
58,0.07253,0.13432,0.01744
59,0.06820,0.13164,0.01883
60,0.06759,0.13366,0.01577
61,0.06361,0.13177,0.01532
62,0.05870,0.13109,0.01625
63,0.05685,0.12921,0.01506
64,0.05262,0.13391,0.01455
65,0.05291,0.13006,0.01477
66,0.04860,0.13462,0.01392
67,0.04693,0.12855,0.01489
68,0.04465,0.13283,0.01455
69,0.04256,0.13704,0.01399
70,0.03964,0.13071,0.01386
71,0.03796,0.13250,0.01411
72,0.03606,0.13587,0.01485
73,0.03669,0.13627,0.01406
74,0.03604,0.13664,0.01366
75,0.03410,0.14088,0.01459
76,0.03118,0.13959,0.01441
77,0.03221,0.13545,0.01346
78,0.03317,0.14435,0.01500
79,0.03063,0.13991,0.01304
80,0.02855,0.14193,0.01323
81,0.02674,0.14252,0.01391
82,0.02548,0.13791,0.01347
83,0.02445,0.13926,0.01292
84,0.02538,0.14313,0.01324
85,0.02360,0.14010,0.01298
86,0.02217,0.13691,0.01303
87,0.02243,0.13974,0.01283
88,0.02203,0.13799,0.01308
89,0.02314,0.14114,0.01313
90,0.02133,0.13837,0.01254
91,0.02148,0.14116,0.01282
92,0.02001,0.13767,0.01247
93,0.02020,0.13923,0.01336
94,0.02137,0.14103,0.01317
95,0.01956,0.13906,0.01240
96,0.01825,0.14120,0.01268
97,0.01883,0.13889,0.01267
