epoch,train_loss,val_loss,val_mae
1,0.57365,0.56288,0.48240
2,0.56557,0.55224,0.47381
3,0.55708,0.54181,0.46509
4,0.54765,0.53173,0.45630
5,0.54024,0.52163,0.44717
6,0.53243,0.51125,0.43742
7,0.52105,0.50063,0.42710
8,0.51268,0.48916,0.41566
9,0.50054,0.47702,0.40321
10,0.49078,0.46411,0.38963
11,0.47753,0.45016,0.37458
12,0.46298,0.43562,0.35853
13,0.45122,0.42044,0.34132
14,0.43629,0.40502,0.32336
15,0.42104,0.38915,0.30453
16,0.40355,0.37332,0.28529
17,0.38915,0.35756,0.26569
18,0.37392,0.34221,0.24618
19,0.35881,0.32727,0.22687
20,0.34182,0.31285,0.20788
21,0.32508,0.29901,0.18950
22,0.31184,0.28581,0.17198
23,0.29563,0.27348,0.15552
24,0.28548,0.26188,0.14018
25,0.27684,0.25109,0.12604
26,0.25972,0.24129,0.11347
27,0.25212,0.23188,0.10209
28,0.23928,0.22286,0.09255
29,0.23334,0.21404,0.08416
30,0.22792,0.20599,0.07805
31,0.21308,0.19977,0.07338
32,0.21081,0.19443,0.06827
33,0.20313,0.19058,0.06368
34,0.19715,0.18662,0.05980
35,0.18982,0.18284,0.05627
36,0.18354,0.18026,0.05102
37,0.18040,0.17888,0.04845
38,0.17364,0.17534,0.04541
39,0.17140,0.17365,0.04274
40,0.16450,0.17119,0.03938
41,0.16189,0.17161,0.03639
42,0.16062,0.16912,0.03638
43,0.15334,0.16819,0.03374
44,0.14740,0.16638,0.03204
45,0.14331,0.16188,0.02910
46,0.13891,0.15773,0.02959
47,0.13323,0.15522,0.03017
48,0.12771,0.15056,0.03172
49,0.11829,0.14036,0.02735
50,0.11029,0.14174,0.02535
51,0.10580,0.13359,0.02427
52,0.09891,0.13069,0.02315
53,0.09366,0.13025,0.02316
54,0.08705,0.12706,0.02099
55,0.08707,0.12813,0.02198
56,0.07920,0.12463,0.02195
57,0.07614,0.12221,0.01830
58,0.06896,0.12030,0.01770
59,0.06322,0.11736,0.01787
60,0.06179,0.12007,0.01715
61,0.05941,0.11814,0.01580
62,0.05654,0.12108,0.01601
63,0.05293,0.12331,0.01582
64,0.05088,0.12299,0.01614
65,0.04748,0.12540,0.01633
66,0.04652,0.12323,0.01471
67,0.04407,0.12327,0.01731
68,0.04248,0.12650,0.01475
69,0.04042,0.12643,0.01622
70,0.03909,0.12800,0.01491
71,0.03673,0.12856,0.01442
72,0.03511,0.12962,0.01467
73,0.03184,0.13200,0.01435
74,0.02971,0.13360,0.01527
75,0.02979,0.13245,0.01450
76,0.02896,0.13294,0.01492
77,0.02842,0.13733,0.01563
78,0.02812,0.13519,0.01442
79,0.02640,0.13731,0.01407
80,0.02502,0.13182,0.01343
81,0.02403,0.13398,0.01323
82,0.02332,0.13594,0.01401
83,0.02518,0.13812,0.01461
84,0.02310,0.14354,0.01480
85,0.02183,0.14033,0.01419
86,0.02138,0.13604,0.01328
87,0.02096,0.13743,0.01318
88,0.02132,0.13889,0.01311
89,0.02014,0.13530,0.01320
