epoch,train_loss,val_loss,val_mae
1,0.59686,0.55704,0.46614
2,0.56991,0.52210,0.43483
3,0.54315,0.49287,0.40652
4,0.51879,0.46404,0.37645
5,0.49403,0.43407,0.34473
6,0.46660,0.40398,0.31108
7,0.43823,0.37370,0.27643
8,0.40875,0.34436,0.24146
9,0.38114,0.31653,0.20783
10,0.35513,0.29015,0.17592
11,0.32876,0.26670,0.14759
12,0.30687,0.24590,0.12252
13,0.28851,0.22810,0.10155
14,0.26806,0.21345,0.08450
15,0.25382,0.20119,0.07027
16,0.23732,0.19184,0.05988
17,0.22389,0.18516,0.05134
18,0.21214,0.17970,0.04500
19,0.19948,0.17734,0.03988
20,0.18805,0.17564,0.03628
21,0.17727,0.17309,0.02994
22,0.16853,0.17455,0.02779
23,0.15471,0.17612,0.02317
24,0.14230,0.17410,0.02034
25,0.13031,0.17649,0.01947
26,0.12085,0.18006,0.01695
27,0.10802,0.17985,0.01570
28,0.09899,0.17406,0.01698
29,0.08857,0.17628,0.01631
30,0.08142,0.17535,0.01447
31,0.07290,0.17404,0.01467
32,0.06685,0.17063,0.01403
33,0.06060,0.17278,0.01387
34,0.05694,0.17443,0.01406
35,0.05329,0.17432,0.01402
36,0.05003,0.17412,0.01547
37,0.04833,0.17739,0.01430
38,0.04488,0.17511,0.01280
39,0.04108,0.17672,0.01285
40,0.03982,0.17397,0.01336
41,0.03697,0.17519,0.01402
42,0.03655,0.18156,0.01428
43,0.03451,0.17475,0.01282
44,0.03335,0.18465,0.01414
45,0.02925,0.18452,0.01325
46,0.02961,0.18284,0.01277
47,0.02851,0.18024,0.01236
48,0.02657,0.18025,0.01342
49,0.02614,0.17486,0.01247
50,0.02462,0.18167,0.01286
51,0.02465,0.18013,0.01335
52,0.02489,0.18414,0.01308
53,0.02288,0.17986,0.01286
54,0.02236,0.18312,0.01284
55,0.02042,0.18179,0.01330
56,0.02018,0.18045,0.01309
57,0.02026,0.18064,0.01336
58,0.01959,0.17832,0.01293
59,0.01956,0.17658,0.01215
60,0.01917,0.17978,0.01339
61,0.02134,0.17496,0.01245
62,0.02393,0.17666,0.01258
63,0.01812,0.17784,0.01253
64,0.01787,0.17858,0.01262
65,0.01680,0.18107,0.01304
66,0.01659,0.18122,0.01285
67,0.01694,0.18105,0.01284
68,0.01609,0.17559,0.01240
69,0.01532,0.17322,0.01259
70,0.01603,0.17891,0.01294
71,0.01608,0.17744,0.01257
72,0.01550,0.17852,0.01267
73,0.01486,0.18231,0.01315
74,0.01458,0.18038,0.01287
75,0.01375,0.17916,0.01257
76,0.01446,0.17731,0.01267
77,0.01355,0.17358,0.01232
78,0.01357,0.17563,0.01259
79,0.01368,0.17783,0.01259
80,0.01352,0.17730,0.01292
81,0.01320,0.17370,0.01235
82,0.01322,0.17995,0.01274
83,0.01313,0.17870,0.01282
84,0.01291,0.17781,0.01268
85,0.01304,0.17897,0.01259
86,0.01207,0.17708,0.01279
87,0.01240,0.17193,0.01208
88,0.01223,0.17260,0.01243
89,0.01179,0.17927,0.01293
90,0.01190,0.17199,0.01235
91,0.01165,0.17169,0.01209
92,0.01132,0.17494,0.01254
93,0.01169,0.17876,0.01256
94,0.01071,0.17893,0.01294
95,0.01178,0.17502,0.01257
96,0.01089,0.17265,0.01225
97,0.01085,0.17226,0.01221
98,0.01127,0.17270,0.01242
99,0.01072,0.17692,0.01295
100,0.01049,0.17487,0.01239
101,0.01050,0.17303,0.01242
102,0.01037,0.17604,0.01241
103,0.00998,0.17380,0.01270
104,0.01015,0.17170,0.01208
105,0.01016,0.17372,0.01253
106,0.00959,0.17823,0.01274
107,0.01002,0.17653,0.01244
108,0.00996,0.17467,0.01230
109,0.00981,0.17816,0.01228
110,0.00960,0.17774,0.01270
111,0.00959,0.17956,0.01269
112,0.00939,0.17307,0.01239
