name,pearson_r,rmse
Ag_Gr_NS,0.9259314765793316,0.025762468576431274
Au_Gr_NS_NH3,0.967511773106229,0.01574532501399517
B_Gr_NS,0.9853378699010978,0.010988311842083931
B_Gr_NS_NH3,0.924536353575165,0.029780644923448563
CH4,0.34101856197784447,0.08114978671073914
CO,0.02407128124034434,0.06010514870285988
CO2,-0.016388594401351896,0.0631987601518631
Co_Gr_NS,0.8921230630372518,0.03147976100444794
Co_Gr_NS_CO,0.8557180890117895,0.032598793506622314
Co_Gr_NS_NH3,0.9170117953748623,0.029836682602763176
Cr_Gr_NS,0.7865052666658016,0.06852976232767105
Cr_Gr_NS_CO,0.9193800700611809,0.03286389634013176
Fe_Gr_NS,0.5509912512079066,0.10080867260694504
Fe_Gr_NS_CO,0.933077872090317,0.027222435921430588
H2O,0.9658243863568866,0.016319364309310913
Mn_Gr_NS,0.8183929874787408,0.06453055143356323
Mn_Gr_NS_CO,0.9394824143680787,0.02158418484032154
Mn_Gr_NS_NH3,0.8514898009504216,0.03862747922539711
MoS2_NS,0.9725347711084079,0.0128020653501153
MoS2_NS_CO,0.9636089445813573,0.01616990752518177
MoS2_NS_NH3,0.9616838729358357,0.02198604680597782
MoS2_NS_NO,0.9492380689672294,0.02515704371035099
MoS2_NS_NO2,0.9611396349436819,0.02171848900616169
MoS2_NS_SO2,0.9496567617540674,0.025977762416005135
MoSe2_NS,0.978898980480067,0.010967502370476723
N_Gr_NS,0.9129129659366179,0.034708816558122635
NH3,-0.012496721332609265,0.07684917747974396
NO,-0.012886481822844494,0.07054754346609116
NO2,0.977652324258203,0.015075095929205418
Pd_Gr_NS,0.7065636558365834,0.06837757676839828
Pd_Gr_NS_CO,0.6456446664359009,0.08150860667228699
Pd_Gr_NS_NH3,0.598890051725985,0.07040514051914215
Pt_Gr_NS,0.9407359086793454,0.02672473154962063
Pt_MoS2_NS,0.9489259857077669,0.01791452057659626
Pt_MoS2_NS_CO,0.10373618492312701,0.057492293417453766
Pt_MoS2_NS_NH3,0.891660046266257,0.03636579215526581
Pt_MoS2_NS_NO,0.6496468832174176,0.051615577191114426
Pt_MoS2_NS_NO2,0.8682814511248005,0.03104068897664547
Pt_MoS2_NS_SO2,0.9235032171826366,0.030280815437436104
Pt_ZnO_NT,0.929054871164707,0.028583159670233727
Pt_ZnO_NT_CO,-0.008177224463544299,0.07110588252544403
Pt_ZnO_NT_NH3,0.8614363020030176,0.034547071903944016
Rh_Gr_NS,0.9316592891501789,0.027665656059980392
Rh_Gr_NS_CO,0.9757232904881026,0.013933412730693817
Rh_Gr_NS_NH3,0.957486118650702,0.017787808552384377
Rh_MoS2_NS,0.00107591623100359,0.09270892292261124
Rh_MoS2_NS_CO,0.9699915527640756,0.014261642470955849
Rh_MoS2_NS_NH3,0.07615532624512747,0.08497320860624313
Rh_MoS2_NS_NO,0.8265355477124293,0.04931919276714325
Rh_MoS2_NS_NO2,0.9670044401975607,0.018503621220588684
SO2,0.9641629095204483,0.01680639013648033
TMA,0.9305238529782747,0.03318087011575699
V_Gr_NS,0.9611814299403322,0.019146066159009933
V_Gr_NS_NH3,0.9558532209756347,0.026101551949977875
ZnO_NT,0.9722428280955363,0.015076344832777977
ZnO_NT_CO,0.08266189942172703,0.06348778307437897
ZnO_NT_NH3,0.9509665751495452,0.043474845588207245
